feature,importance
history_ShADTadtTgtGtTfF,0.0
history_ShADTadtTgtTFfR,0.0
history_ShADTadtTgtfG,0.0
history_ShADTadtTgttGTgfF,0.0
history_ShADTadtTgttfF,0.0
history_ShADTadtTtFRf,0.0
history_ShADTadtTtFf,0.0
history_ShADTadtTtFfR,0.0
history_ShADTadtTtGFfR,0.0
history_ShADTadtTtGFgf,0.0
history_ShADTadtTtGgTtFf,0.0
history_ShADTadtTtGgtTfF,0.0
history_ShADTadtTtGtTFf,0.0
history_ShADTadtTtGtTgF,0.0
history_ShADTadtTtGtTgGtfF,0.0
history_ShADTadtTtTFf,0.0
history_ShADTadtTtTFr,0.0
history_ShADTadtTtfF,0.0
history_ShADTadtTtfFRr,0.0
history_ShADTadtTtfr,0.0
history_ShADTadtTtg,0.0
history_ShADTadtTtgFf,0.0
history_ShADTadtTtgFfR,0.0
history_ShADTadtTtgGFfR,0.0
history_ShADTadtTtgGtTfF,0.0
history_ShADTadtTtgTGGgttR,0.0
history_ShADTadtTtgTGtGFfR,0.0
history_ShADTadtTtgWgFf,0.0
history_ShADTadtTtgWtggFfR,0.0
history_ShADTadtTtgfGR,0.0
history_ShADTadtTtgtFfR,0.0
history_ShADTadtTtgtGTfF,0.0
history_ShADTadtTtgtWgFf,0.0
history_ShADTadtTtgtgFfR,0.0
history_ShADTadtTtgtgWWtFf,0.0
history_ShADTadtTttFf,0.0
history_ShADTadtTttGFRf,0.0
history_ShADTadtTttGfF,0.0
history_ShADTadtTttGgT,0.0
history_ShADTadtTttT,0.0
history_ShADTadtTttTFr,0.0
history_ShADTadtTttTfF,0.0
history_ShADTadtTttTgGfF,0.0
history_ShADTadtTttTtfF,0.0
history_ShADTadtTttWfF,0.0
history_ShADTadtTttWggFfR,0.0
history_ShADTadtTttfF,0.0
history_ShADTadtTttgWgFfR,0.0
history_ShADTadtTttgfGF,0.0
history_ShADTadtTttggFfR,0.0
history_ShADTadtTttggWFf,0.0
history_ShADTadtfF,0.0
history_ShADTadtfFR,0.0
history_ShADTadtfFRr,0.0
history_ShADTadtfFr,0.0
history_ShADTadtfG,0.0
history_ShADTadtfGF,0.0
history_ShADTadtfGR,0.0
history_ShADTadtfGtgR,0.0
history_ShADTadtfr,0.0
history_ShADTadtftFR,0.0
history_ShADTadtftFr,0.0
history_ShADTadtg,0.0
history_ShADTadtgF,0.0
history_ShADTadtgFR,0.0
history_ShADTadtgFRf,0.0
history_ShADTadtgFf,0.0
history_ShADTadtgFfR,0.0
history_ShADTadtgGF,0.0
history_ShADTadtgGFRf,0.0
history_ShADTadtgGFf,0.0
history_ShADTadtgGFfR,0.0
history_ShADTadtgGfR,0.0
history_ShADTadtgGtTFf,0.0
history_ShADTadtgGtTfF,0.0
history_ShADTadtgGttgFfR,0.0
history_ShADTadtgR,0.0
history_ShADTadtgTFf,0.0
history_ShADTadtgTFftR,0.0
history_ShADTadtgTtFf,0.0
history_ShADTadtgTtFfR,0.0
history_ShADTadtgTtgtGWFfR,0.0
history_ShADTadtgTttfF,0.0
history_ShADTadtgTttgTFfR,0.0
history_ShADTadtgfF,0.0
history_ShADTadtgfFR,0.0
history_ShADTadtggtFfR,0.0
history_ShADTadtgtF,0.0
history_ShADTadtgtFRf,0.0
history_ShADTadtgtFf,0.0
history_ShADTadtgtFfR,0.0
history_ShADTadtgtGFf,0.0
history_ShADTadtgtGgWFf,0.0
history_ShADTadtgtTFf,0.0
history_ShADTadtgtTFfR,0.0
history_ShADTadtgtTgGtFf,0.0
history_ShADTadtgtTgtFf,0.0
history_ShADTadtgtTtF,0.0
history_ShADTadtgtTtFf,0.0
history_ShADTadtgtTtGfF,0.0
history_ShADTadtgtTtfF,0.0
history_ShADTadtgtWtTFf,0.0
history_ShADTadtgtWtgFfR,0.0
history_ShADTadtgtfF,0.0
history_ShADTadtgtfGF,0.0
history_ShADTadtgtgFfR,0.0
history_ShADTadtgtgTtFfR,0.0
history_ShADTadtgtgWtFfR,0.0
history_ShADTadtgtgtTFfR,0.0
history_ShADTadtgtgtTgFf,0.0
history_ShADTadtgttFf,0.0
history_ShADTadtgttWgTFfR,0.0
history_ShADTadtgttWggtTGgWFf,0.0
history_ShADTadtgttgFfR,0.0
history_ShADTadttFR,0.0
history_ShADTadttFRf,0.0
history_ShADTadttFf,0.0
history_ShADTadttFfR,0.0
history_ShADTadttFfr,0.0
history_ShADTadttFfrR,0.0
history_ShADTadttFg,0.0
history_ShADTadttFgf,0.0
history_ShADTadttFr,0.0
history_ShADTadttGFf,0.0
history_ShADTadttGFfRg,0.0
history_ShADTadttGR,0.0
history_ShADTadttGTFf,0.0
history_ShADTadttGTgF,0.0
history_ShADTadttGTr,0.0
history_ShADTadttGfF,0.0
history_ShADTadttGfR,0.0
history_ShADTadttGgFf,0.0
history_ShADTadttGgTFf,0.0
history_ShADTadttR,0.0
history_ShADTadttTFR,0.0
history_ShADTadttTFf,0.0
history_ShADTadttTFfR,0.0
history_ShADTadttTFgf,0.0
history_ShADTadttTFr,0.0
history_ShADTadttTGFfR,0.0
history_ShADTadttTGTtFfR,0.0
history_ShADTadttTGgFf,0.0
history_ShADTadttTGgtFf,0.0
history_ShADTadttTGgtTtTfFr,0.0
history_ShADTadttTGtfF,0.0
history_ShADTadttTT,0.0
history_ShADTadttTTtTt,0.0
history_ShADTadttTWgtgFfR,0.0
history_ShADTadttTfF,0.0
history_ShADTadttTfFRRR,0.0
history_ShADTadttTfG,0.0
history_ShADTadttTfGF,0.0
history_ShADTadttTfgF,0.0
history_ShADTadttTg,0.0
history_ShADTadttTgFf,0.0
history_ShADTadttTgFfR,0.0
history_ShADTadttTgGTT,0.0
history_ShADTadttTgGWtFf,0.0
history_ShADTadttTgGtTtr,0.0
history_ShADTadttTgGtfF,0.0
history_ShADTadttTgfF,0.0
history_ShADTadttTgtGgFf,0.0
history_ShADTadttTgtTGFfR,0.0
history_ShADTadttTgtTTt,0.0
history_ShADTadttTgtWgFRf,0.0
history_ShADTadttTgtfF,0.0
history_ShADTadttTgtgWFf,0.0
history_ShADTadttTr,0.0
history_ShADTadttTtFf,0.0
history_ShADTadttTtGTgr,0.0
history_ShADTadttTtGTgtr,0.0
history_ShADTadttTtGgTGgfR,0.0
history_ShADTadttTtGgTGtrR,0.0
history_ShADTadttTtGgfF,0.0
history_ShADTadttTtTFf,0.0
history_ShADTadttTtTGgtTFfR,0.0
history_ShADTadttTtTGgtTG,0.0
history_ShADTadttTtTGrF,0.0
history_ShADTadttTtTf,0.0
history_ShADTadttTtTgtTG,0.0
history_ShADTadttTtTr,0.0
history_ShADTadttTtTtT,0.0
history_ShADTadttTtTtTfr,0.0
history_ShADTadttTtWFf,0.0
history_ShADTadttTtfF,0.0
history_ShADTadttTtgFfR,0.0
history_ShADTadttTtgGTFr,0.0
history_ShADTadttTtgGfF,0.0
history_ShADTadttTtgGgfF,0.0
history_ShADTadttTtgWFf,0.0
history_ShADTadttTtgWFfR,0.0
history_ShADTadttTtgWgFfR,0.0
history_ShADTadttTtgfF,0.0
history_ShADTadttTtggFf,0.0
history_ShADTadttTtggFfR,0.0
history_ShADTadttTtggGFf,0.0
history_ShADTadttTtggtTfF,0.0
history_ShADTadttWFfR,0.0
history_ShADTadttWWtgFfR,0.0
history_ShADTadttWgFf,0.0
history_ShADTadttWgtFfR,0.0
history_ShADTadttWtFf,0.0
history_ShADTadttWtTWGgtgFf,0.0
history_ShADTadttWtTggfF,0.0
history_ShADTadttWtWggFfR,0.0
history_ShADTadttWtggWFf,0.0
history_ShADTadttfF,0.0
history_ShADTadttfFR,0.0
history_ShADTadttfG,0.0
history_ShADTadttfGF,0.0
history_ShADTadttfTF,0.0
history_ShADTadttg,0.0
history_ShADTadttgFRf,0.0
history_ShADTadttgFf,0.0
history_ShADTadttgFfR,0.0
history_ShADTadttgGFf,0.0
history_ShADTadttgGTFf,0.0
history_ShADTadttgGTtWWfF,0.0
history_ShADTadttgGTtWWgFfR,0.0
history_ShADTadttgGgFf,0.0
history_ShADTadttgGgtFfR,0.0
history_ShADTadttgTFf,0.0
history_ShADTadttgTFfR,0.0
history_ShADTadttgTGtFf,0.0
history_ShADTadttgTGtfF,0.0
history_ShADTadttgTfF,0.0
history_ShADTadttgTgtgFf,0.0
history_ShADTadttgTtFf,0.0
history_ShADTadttgTtGF,0.0
history_ShADTadttgTtGgfF,0.0
history_ShADTadttgTtWWgGgtFfR,0.0
history_ShADTadttgTtWggFfR,0.0
history_ShADTadttgTtfF,0.0
history_ShADTadttgTtgFfR,0.0
history_ShADTadttgTtgGfF,0.0
history_ShADTadttgTtgWgFfR,0.0
history_ShADTadttgTtgfr,0.0
history_ShADTadttgTtggGFfR,0.0
history_ShADTadttgWGgtFfR,0.0
history_ShADTadttgWTfF,0.0
history_ShADTadttgWgFf,0.0
history_ShADTadttgWgFfR,0.0
history_ShADTadttgWgtfF,0.0
history_ShADTadttgWtFfR,0.0
history_ShADTadttgWtTFfR,0.0
history_ShADTadttgWtgFfR,0.0
history_ShADTadttggFf,0.0
history_ShADTadttggTtFfR,0.0
history_ShADTadttggWtFf,0.0
history_ShADTadttggtFfR,0.0
history_ShADTadttggtTFfR,0.0
history_ShADTadttggtWFf,0.0
history_ShADTadttggtWgFfR,0.0
history_ShADTadttggtWgTFf,0.0
history_ShADTadttggtgFfR,0.0
history_ShADTadttggtgWTFf,0.0
history_ShADTadttggtgtR,0.0
history_ShADTadttgtFfR,0.0
history_ShADTadttgtTFf,0.0
history_ShADTadttgtTFfR,0.0
history_ShADTadttgtTGWWgtFf,0.0
history_ShADTadttgtTR,0.0
history_ShADTadttgtWFfR,0.0
history_ShADTadttgtWGgFfR,0.0
history_ShADTadttgtWWFf,0.0
history_ShADTadttgtWgGFf,0.0
history_ShADTadttgtWgTFf,0.0
history_ShADTadttgtWgTgtFfR,0.0
history_ShADTadttgtWggTWtgFf,0.0
history_ShADTadttgtfTFR,0.0
history_ShADTadttgtgFf,0.0
history_ShADTadttgtgFfR,0.0
history_ShADTadttgtgTFf,0.0
history_ShADTadttgtgWFfR,0.0
history_ShADTadttgtggTFfR,0.0
history_ShADTadtttF,0.0
history_ShADTadtttFf,0.0
history_ShADTadtttFfR,0.0
history_ShADTadtttTFR,0.0
history_ShADTadtttTfF,0.0
history_ShADTadtttTgFf,0.0
history_ShADTadtttTggFf,0.0
history_ShADTadtttTggR,0.0
history_ShADTadtttWFf,0.0
history_ShADTadtttWWfF,0.0
history_ShADTadtttWgTFf,0.0
history_ShADTadtttWgTFfR,0.0
history_ShADTadtttWgTgFfR,0.0
history_ShADTadtttWggTFfR,0.0
history_ShADTadtttWgggtTFf,0.0
history_ShADTadtttgFRf,0.0
history_ShADTadtttgFfR,0.0
history_ShADTadtttgTFf,0.0
history_ShADTadtttgTFfR,0.0
history_ShADTadtttgTfr,0.0
history_ShADTadtttgTgFf,0.0
history_ShADTadtttgWfF,0.0
history_ShADTadtttgWgGFf,0.0
history_ShADTadtttgWgfF,0.0
history_ShADTadtttgfF,0.0
history_ShADTadtttggFRf,0.0
history_ShADTadtttggFfR,0.0
history_ShADTadtttggGWTFf,0.0
history_ShADTadtttggR,0.0
history_ShADTadtttggTgFfR,0.0
history_ShADTadtttggWTfF,0.0
history_ShADTaftF,0.0
history_ShADTagFdtfR,0.0
history_ShADTagdtFf,0.0
history_ShADTagdtFfR,0.0
history_ShADTagdtTFtfR,0.0
history_ShADTdaGgttgfF,0.0
history_ShADTdatFfRg,0.0
history_ShADTdatgFfR,0.0
history_ShADTdgatTFfR,0.0
history_ShADTdtFRf,0.0
history_ShADTdtFar,0.0
history_ShADTdtFf,0.0
history_ShADTdtFfR,0.0
history_ShADTdtTatgFRf,0.0
history_ShADTdtaFf,0.0
history_ShADTdtaFfR,0.0
history_ShADTdtaFftR,0.0
history_ShADTdtaGtFfR,0.0
history_ShADTdtaTtFfR,0.0
history_ShADTdtatFfR,0.0
history_ShADTdtatTFf,0.0
history_ShADTdtatTr,0.0
history_ShADTdtatggtWgFf,0.0
history_ShADTdtgGFfR,0.0
history_ShADTdtgaFRf,0.0
history_ShADTdtgaFf,0.0
history_ShADTdtgaFfR,0.0
history_ShADTdtgaTFRtf,0.0
history_ShADTdttFfR,0.0
history_ShADTgdt,0.0
history_ShADTgdtGFfR,0.0
history_ShADaTFdtfR,0.0
history_ShADaTdgtfF,0.0
history_ShADaTdtFRf,0.0
history_ShADaTdtFf,0.0
history_ShADaTdtFg,0.0
history_ShADaTdtFgf,0.0
history_ShADaTdtfF,0.0
history_ShADaTdtfGF,0.0
history_ShADaTdtgtFf,0.0
history_ShADaTdtgtTFf,0.0
history_ShADaTdtgtWgtFf,0.0
history_ShADaTdttFf,0.0
history_ShADaTdttTFf,0.0
history_ShADaTdttTfr,0.0
history_ShADaTdttTgfFR,0.0
history_ShADaTdttTtgfr,0.0
history_ShADaTdttgGFf,0.0
history_ShADaTdttgTFf,0.0
history_ShADaTdttgTfr,0.0
history_ShADaTdttgtTfF,0.0
history_ShADaTdttgtTfr,0.0
history_ShADaTdtttTgfr,0.0
history_ShADaTftF,0.0
history_ShADaTgdttGTtgFf,0.0
history_ShADadTtGTFftR,0.0
history_ShADadTtg,0.0
history_ShADadf,0.0
history_ShADadgTtFf,0.0
history_ShADadgTtFfR,0.0
history_ShADadgTtGTtTtGtgfF,0.0
history_ShADadgTttFf,0.0
history_ShADadtTFRf,0.0
history_ShADadtTFf,0.0
history_ShADadtTFfR,0.0
history_ShADadtTGtFRf,0.0
history_ShADadtTGtFfR,0.0
history_ShADadtTGtgTFf,0.0
history_ShADadtTgFfR,0.0
history_ShADadtTgFtfR,0.0
history_ShADadtTgGtTgtFfR,0.0
history_ShADadtTgfFr,0.0
history_ShADadtTgtFf,0.0
history_ShADadtTtFf,0.0
history_ShADadtTtFfR,0.0
history_ShADadtTtgWtggFf,0.0
history_ShADadtTttWTggFf,0.0
history_ShADadtgGTFf,0.0
history_ShADadtgTFf,0.0
history_ShADadtgTtTFf,0.0
history_ShADagTdttTtGTfF,0.0
history_ShADdgTtaFf,0.0
history_ShADdtFf,0.0
history_ShADdtTFRf,0.0
history_ShADdtTFfR,0.0
history_ShADdtTagFfR,0.0
history_ShADdtTatFfG,0.0
history_ShADdtTatFfR,0.0
history_ShADdtTatgWTGgtFRf,0.0
history_ShADgTadtFfR,0.0
history_ShAFar,0.0
history_ShAFf,0.0
history_ShAaGDTdtFf,0.0
history_ShAaGDTdtFg,0.0
history_ShAaGDTdtfF,0.0
history_ShAaGDTdtgtFf,0.0
history_ShAaGDTdttFf,0.0
history_ShAaGDTdttTFgf,0.0
history_ShAaGDTgdttfF,0.0
history_ShAaGdDTtgtgTtFfR,0.0
history_ShAaGdgDttFfR,0.0
history_ShAaGdtDTFfR,0.0
history_ShAaGdtDTTtFfR,0.0
history_ShAaGdtDTgFfR,0.0
history_ShAaGdtDTtFf,0.0
history_ShAaGdtDgtgWTtFfR,0.0
history_ShAaGdtgDTFf,0.0
history_ShAdGtDTgaR,0.0
history_ShAf,0.0
history_ShAfDTr,0.0
history_ShAfG,0.0
history_ShDAadtTgtFf,0.0
history_ShDAagTdtFfR,0.0
history_ShDTAadtfF,0.0
history_ShDTadAgtFf,0.0
history_ShDTadgGAttgWtgtTgFf,0.0
history_ShDTadtAFf,0.0
history_ShDTadtAFfR,0.0
history_ShDTadtAgFf,0.0
history_ShDTadtAtTgtfF,0.0
history_ShDTadtGAFfR,0.0
history_ShDTadtfAF,0.0
history_ShDTdtatAgWtGgFfR,0.0
history_ShDadAGTtgtWFf,0.0
history_ShDadAtTFR,0.0
history_ShDadtAGTgtFf,0.0
history_ShDadtATgFRf,0.0
history_ShDadtAgTGFfR,0.0
history_ShDadtgTAfF,0.0
history_ShDdAGgFf,0.0
history_ShaGdDtAgtgFRf,0.0
history_ShdGtADatFfR,0.0
history_Sr,0.0
history_^d,0.0
history_^dD,0.0
history_^dDTatAtTtfF,0.0
history_^dtR,0.0
history_^hADTadtFfR,0.0
history_^hADTadtGFf,0.0
history_^hADTadtgGFf,0.0
history_^hADTadttFf,0.0
history_^hADTagGdtGTFfR,0.0
history_^hADTagdFftR,0.0
history_^hADadgGFtfR,0.0
history_^hADadtTtgWFfR,0.0
history_^hAaGdtFf,0.0
history_^hDTadtAGFfR,0.0
history_^hDTagGdtAFfR,0.0
history_^hDaTdtAtgFf,0.0
history_^hDadGtATFfR,0.0
history_^hDadTtAgTtFfR,0.0
history_^hSADTaFdtfR,0.0
history_^hSADTadtF,0.0
history_^hSADTadtTtFf,0.0
history_^hSADTadtTttWtWTtFf,0.0
history_^hSADTadtfF,0.0
history_^hSADTadttFf,0.0
history_^hSADTadttFfR,0.0
history_^hSADTadttTFf,0.0
history_^hSADTadttTfF,0.0
history_^hSADTadttTtfF,0.0
history_^hSADTadttWtFf,0.0
history_^hSADaTdttTFf,0.0
history_^hSAaDTdtttWFfR,0.0
history_^hadADTtgFf,0.0
